"product_key","product_names","product_category","month","avg_qty_sold","frequency_segment"
492,"HL Touring Frame - Yellow, 60",Components,1,10.0000000000000000,Low Frequency
331,"Road-650 Red, 52",Bikes,1,42.0000000000000000,Mid Frequency
507,"LL Touring Frame - Yellow, 50",Components,1,15.0000000000000000,Low Frequency
465,"Half-Finger Gloves, M",Clothing,1,82.0000000000000000,High Frequency
400,ML Mountain Handlebars,Components,1,26.0000000000000000,Mid Frequency
380,"Road-250 Black, 58",Bikes,1,12.0000000000000000,Low Frequency
370,"Road-250 Red, 52",Bikes,1,12.0000000000000000,Low Frequency
363,"Mountain-200 Black, 46",Bikes,1,44.0000000000000000,Mid Frequency
516,ML Mountain Seat/Saddle,Components,1,17.0000000000000000,Low Frequency
372,"Road-250 Red, 58",Bikes,1,13.0000000000000000,Low Frequency
377,"Road-250 Black, 52",Bikes,1,19.0000000000000000,Low Frequency
354,"Mountain-200 Silver, 42",Bikes,1,51.0000000000000000,Mid Frequency
593,"Mountain-500 Silver, 44",Bikes,1,11.0000000000000000,Low Frequency
217,"Sport-100 Helmet, Black",Accessories,1,82.0000000000000000,High Frequency
586,"Touring-3000 Blue, 50",Bikes,1,40.0000000000000000,Mid Frequency
263,"LL Road Frame - Red, 44",Components,1,27.0000000000000000,Mid Frequency
306,"HL Mountain Frame - Black, 38",Components,1,5.0000000000000000,Low Frequency
216,"Sport-100 Helmet, Black",Accessories,1,50.0000000000000000,Mid Frequency
341,"Road-650 Black, 48",Bikes,1,14.0000000000000000,Low Frequency
592,"Mountain-500 Silver, 42",Bikes,1,12.0000000000000000,Low Frequency
606,"Road-750 Black, 52",Bikes,1,57.0000000000000000,Mid Frequency
585,"Touring-3000 Blue, 44",Bikes,1,9.0000000000000000,Low Frequency
496,"HL Touring Frame - Yellow, 54",Components,1,19.0000000000000000,Low Frequency
255,"LL Road Frame - Black, 58",Components,1,10.0000000000000000,Low Frequency
575,"Touring-1000 Blue, 54",Bikes,1,12.0000000000000000,Low Frequency
453,"Men's Sports Shorts, M",Clothing,1,57.0000000000000000,Mid Frequency
323,"Road-650 Red, 60",Bikes,1,93.0000000000000000,High Frequency
428,"ML Mountain Frame - Black, 48",Components,1,36.0000000000000000,Mid Frequency
223,AWC Logo Cap,Clothing,1,25.0000000000000000,Mid Frequency
312,"Road-150 Red, 48",Bikes,1,6.0000000000000000,Low Frequency
580,"Road-350-W Yellow, 40",Bikes,1,75.0000000000000000,High Frequency
393,HL Fork,Components,1,15.0000000000000000,Low Frequency
287,"LL Road Frame - Black, 52",Components,1,16.0000000000000000,Low Frequency
295,"HL Mountain Frame - Silver, 46",Components,1,6.0000000000000000,Low Frequency
545,LL Road Pedal,Components,1,37.0000000000000000,Mid Frequency
310,"Road-150 Red, 62",Bikes,1,14.0000000000000000,Low Frequency
313,"Road-150 Red, 52",Bikes,1,9.0000000000000000,Low Frequency
345,"Mountain-100 Silver, 42",Bikes,1,14.0000000000000000,Low Frequency
358,"Mountain-200 Black, 38",Bikes,1,60.0000000000000000,Mid Frequency
315,"Road-450 Red, 58",Bikes,1,29.0000000000000000,Mid Frequency
590,"Mountain-400-W Silver, 46",Bikes,1,15.0000000000000000,Low Frequency
547,HL Road Pedal,Components,1,17.0000000000000000,Low Frequency
382,"Road-550-W Yellow, 38",Bikes,1,49.0000000000000000,Mid Frequency
445,"Men's Sports Shorts, S",Clothing,1,31.0000000000000000,Mid Frequency
531,"LL Mountain Frame - Black, 42",Components,1,16.0000000000000000,Low Frequency
470,"Full-Finger Gloves, L",Clothing,1,176.0000000000000000,High Frequency
399,ML Mountain Handlebars,Components,1,39.0000000000000000,Mid Frequency
359,"Mountain-200 Black, 38",Bikes,1,48.0000000000000000,Mid Frequency
390,"Road-550-W Yellow, 48",Bikes,1,62.0000000000000000,Mid Frequency
436,"ML Road Frame-W - Yellow, 48",Components,1,17.0000000000000000,Low Frequency
338,"Road-650 Black, 44",Bikes,1,17.0000000000000000,Low Frequency
336,"Road-650 Black, 62",Bikes,1,9.0000000000000000,Low Frequency
235,"Long-Sleeve Logo Jersey, XL",Clothing,1,6.0000000000000000,Low Frequency
318,"Road-450 Red, 48",Bikes,1,6.0000000000000000,Low Frequency
604,"Road-750 Black, 44",Bikes,1,16.0000000000000000,Low Frequency
573,"Touring-1000 Blue, 46",Bikes,1,42.0000000000000000,Mid Frequency
297,"HL Mountain Frame - Black, 42",Components,1,11.0000000000000000,Low Frequency
379,"Road-250 Black, 58",Bikes,1,14.0000000000000000,Low Frequency
366,"Mountain-300 Black, 44",Bikes,1,42.0000000000000000,Mid Frequency
385,"Road-550-W Yellow, 42",Bikes,1,14.0000000000000000,Low Frequency
570,"Touring-3000 Yellow, 54",Bikes,1,11.0000000000000000,Low Frequency
368,"Road-250 Red, 44",Bikes,1,36.0000000000000000,Mid Frequency
559,Chain,Components,1,24.0000000000000000,Mid Frequency
350,"Mountain-100 Black, 44",Bikes,1,23.0000000000000000,Mid Frequency
387,"Road-550-W Yellow, 44",Bikes,1,17.0000000000000000,Low Frequency
566,"Touring-3000 Blue, 58",Bikes,1,22.0000000000000000,Low Frequency
356,"Mountain-200 Silver, 46",Bikes,1,47.0000000000000000,Mid Frequency
264,"LL Road Frame - Red, 48",Components,1,5.0000000000000000,Low Frequency
396,HL Headset,Components,1,3.0000000000000000,Low Frequency
365,"Mountain-300 Black, 40",Bikes,1,44.0000000000000000,Mid Frequency
397,LL Mountain Handlebars,Components,1,12.0000000000000000,Low Frequency
582,"Road-350-W Yellow, 44",Bikes,1,12.0000000000000000,Low Frequency
322,"Road-650 Red, 60",Bikes,1,30.0000000000000000,Mid Frequency
292,"HL Mountain Frame - Silver, 48",Components,1,5.0000000000000000,Low Frequency
316,"Road-450 Red, 60",Bikes,1,18.0000000000000000,Low Frequency
286,"LL Road Frame - Black, 52",Components,1,21.0000000000000000,Low Frequency
343,"Road-650 Black, 52",Bikes,1,93.0000000000000000,High Frequency
409,"ML Mountain Frame - Black, 38",Components,1,23.0000000000000000,Mid Frequency
298,"HL Mountain Frame - Black, 42",Components,1,17.0000000000000000,Low Frequency
512,"ML Mountain Frame-W - Silver, 42",Components,1,30.0000000000000000,Mid Frequency
335,"Road-650 Black, 60",Bikes,1,48.0000000000000000,Mid Frequency
305,"HL Mountain Frame - Black, 38",Components,1,9.0000000000000000,Low Frequency
307,"HL Mountain Frame - Silver, 38",Components,1,2.0000000000000000,Low Frequency
435,"ML Road Frame-W - Yellow, 48",Components,1,19.0000000000000000,Low Frequency
